what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2e.editor,1.7.0.20160603-1933,"org.eclipse.m2e.editor",1474281868925
stopped,bundle,org.eclipse.m2e.editor.xml,1.7.0.20160603-1933,"org.eclipse.m2e.editor.xml",1474281868925
stopped,bundle,org.eclipse.m2e.discovery,1.7.0.20160603-1933,"org.eclipse.m2e.discovery",1474281868925
stopped,bundle,org.eclipse.m2e.importer,1.7.0.20160603-1933,"org.eclipse.m2e.importer",1474281868925
stopped,bundle,org.eclipse.m2e.wtp.jaxrs,1.3.0.20160530-2310,"org.eclipse.m2e.wtp.jaxrs",1474281868925
stopped,bundle,org.eclipse.m2e.wtp.jpa,1.3.0.20160530-2310,"org.eclipse.m2e.wtp.jpa",1474281868925
stopped,bundle,org.eclipse.m2e.wtp.jsf,1.3.0.20160530-2310,"org.eclipse.m2e.wtp.jsf",1474281868926
stopped,bundle,org.eclipse.m2e.wtp,1.3.0.20160530-2310,"org.eclipse.m2e.wtp",1474281868926
stopped,bundle,org.eclipse.m2e.jdt,1.7.0.20160603-1933,"org.eclipse.m2e.jdt",1474281868926
stopped,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1474281868926
stopped,bundle,org.eclipse.m2e.profiles.ui,1.7.0.20160603-1933,"org.eclipse.m2e.profiles.ui",1474281868926
stopped,bundle,org.eclipse.m2e.refactoring,1.7.0.20160603-1933,"org.eclipse.m2e.refactoring",1474281868926
stopped,bundle,org.eclipse.m2e.profiles.core,1.7.0.20160603-1933,"org.eclipse.m2e.profiles.core",1474281868926
stopped,bundle,org.zeroturnaround.eclipse.m2e,6.5.0.RELEASE,"org.zeroturnaround.eclipse.m2e",1474281868926
stopped,bundle,org.eclipse.m2e.wtp.overlay.ui,1.3.0.20160530-2310,"org.eclipse.m2e.wtp.overlay.ui",1474281868926
stopped,bundle,org.eclipse.m2e.wtp.overlay,1.3.0.20160530-2310,"org.eclipse.m2e.wtp.overlay",1474281868926
stopped,bundle,org.eclipse.recommenders.chain.rcp,2.4.0.v20160607-1609,"org.eclipse.recommenders.chain.rcp",1474281868926
stopped,bundle,org.eclipse.recommenders.completion.rcp,2.4.0.v20160607-1609,"org.eclipse.recommenders.completion.rcp",1474281868926
stopped,bundle,org.eclipse.recommenders.rcp,2.4.0.v20160607-1609,"org.eclipse.recommenders.rcp",1474281868926
stopped,bundle,org.eclipse.recommenders.injection,2.4.0.v20160607-1609,"org.eclipse.recommenders.injection",1474281868926
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1474281868927
stopped,bundle,org.eclipse.m2e.core.ui,1.7.0.20160603-1933,"org.eclipse.m2e.core.ui",1474281868927
stopped,bundle,org.eclipse.m2e.core,1.7.0.20160603-1933,"org.eclipse.m2e.core",1474281868927
stopped,bundle,org.jboss.ide.eclipse.archives.jdt.integration,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.jdt.integration",1474281868927
stopped,bundle,org.jboss.ide.eclipse.archives.ui,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.ui",1474281868927
stopped,bundle,org.jboss.ide.eclipse.as.core,3.2.1.v20160901-2242,"org.jboss.ide.eclipse.as.core",1474281868928
stopped,bundle,org.jboss.ide.eclipse.as.wtp.core,3.2.1.v20160711-1757,"org.jboss.ide.eclipse.as.wtp.core",1474281868928
stopped,bundle,org.jboss.ide.eclipse.archives.core,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.core",1474281868928
stopped,bundle,org.jboss.tools.jmx.local,1.8.1.v20160607-2122,"org.jboss.tools.jmx.local",1474281868928
stopped,bundle,org.jboss.tools.jmx.ui,1.8.1.v20160805-2259,"org.jboss.tools.jmx.ui",1474281868928
stopped,bundle,org.jboss.tools.jmx.core,1.8.1.v20160607-2122,"org.jboss.tools.jmx.core",1474281868928
stopped,bundle,org.jboss.tools.usage,2.2.1.v20160607-2053,"org.jboss.tools.usage",1474281868928
stopped,bundle,org.eclipse.recommenders.utils.rcp,2.4.0.v20160607-1609,"org.eclipse.recommenders.utils.rcp",1474281868928
stopped,bundle,org.eclipse.wst.jsdt.js.bower,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.bower",1474281868928
stopped,bundle,org.eclipse.wst.jsdt.js.node,1.0.0.v201605232053,"org.eclipse.wst.jsdt.js.node",1474281868928
stopped,bundle,org.eclipse.wst.jsdt.js.node.common,1.0.0.v201605131737,"org.eclipse.wst.jsdt.js.node.common",1474281868928
stopped,bundle,org.eclipse.wst.jsdt.js.npm,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.npm",1474281868929
stopped,bundle,org.eclipse.epp.logging.aeri.core,2.0.1.v20160602-0457,"org.eclipse.epp.logging.aeri.core",1474281868929
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.20.0.v20160608-1905,"org.eclipse.mylyn.context.tasks.ui",1474281868929
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.20.0.v20160425-1835,"org.eclipse.mylyn.bugzilla.ui",1474281868929
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.20.0.v20160425-1835,"org.eclipse.mylyn.bugzilla.core",1474281868929
stopped,bundle,org.eclipse.mylyn.help.ui,3.20.0.v20160425-1835,"org.eclipse.mylyn.help.ui",1474281868929
stopped,bundle,org.eclipse.mylyn.java.tasks,3.20.0.v20160421-1902,"org.eclipse.mylyn.java.tasks",1474281868929
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.20.0.v20160425-1835,"org.eclipse.mylyn.tasks.bugs",1474281868929
stopped,bundle,org.eclipse.mylyn.tasks.index.core,3.20.0.v20160425-1835,"org.eclipse.mylyn.tasks.index.core",1474281868929
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1474281868929
stopped,bundle,org.eclipse.mylyn.team.ui,3.20.0.v20160421-1902,"org.eclipse.mylyn.team.ui",1474281868929
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,2.9.0.v20160513-1433,"org.eclipse.mylyn.wikitext.tasks.ui",1474281868930
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.20.0.v20160608-1838,"org.eclipse.mylyn.tasks.ui",1474281868930
stopped,bundle,org.eclipse.mylyn.wikitext.context.ui,2.9.0.v20160513-1433,"org.eclipse.mylyn.wikitext.context.ui",1474281868930
stopped,bundle,org.eclipse.mylyn.wikitext.core.ant,2.9.0.v20160513-1433,"org.eclipse.mylyn.wikitext.core.ant",1474281868931
stopped,bundle,org.eclipse.mylyn.wikitext.ui,2.9.0.v20160516-1547,"org.eclipse.mylyn.wikitext.ui",1474281868931
stopped,bundle,org.eclipse.mylyn.wikitext.core.osgi,2.9.0.v20160513-1433,"org.eclipse.mylyn.wikitext.core.osgi",1474281868932
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.500.v201405151744,"org.eclipse.jst.server.generic.jonas",1474281868932
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.600.v201402262303,"org.eclipse.jst.server.generic.ui",1474281868932
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.900.v201606081655,"org.eclipse.jst.server.generic.core",1474281868932
stopped,bundle,org.eclipse.mylyn.ide.ant,3.20.0.v20160421-1902,"org.eclipse.mylyn.ide.ant",1474281868932
stopped,bundle,org.eclipse.ant.ui,3.6.200.v20160525-1820,"org.eclipse.ant.ui",1474281868932
stopped,bundle,org.eclipse.ant.launching,1.1.200.v20160418-1631,"org.eclipse.ant.launching",1474281868932
stopped,bundle,org.eclipse.compare.win32,1.1.0.v20160418-1534,"org.eclipse.compare.win32",1474281868932
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.400.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk",1474281868932
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.500.v201603031514,"org.eclipse.jst.server.tomcat.ui",1474281868932
stopped,bundle,org.eclipse.jst.server.ui,1.1.300.v201309182039,"org.eclipse.jst.server.ui",1474281868932
stopped,bundle,org.eclipse.mylyn.java.ui,3.20.0.v20160421-1902,"org.eclipse.mylyn.java.ui",1474281868932
stopped,bundle,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit",1474281868932
stopped,bundle,org.eclipse.cft.server.standalone.ui,1.0.2.v201606021906,"org.eclipse.cft.server.standalone.ui",1474281868932
stopped,bundle,org.eclipse.cft.server.branding.ui,1.0.2.v201606021906,"org.eclipse.cft.server.branding.ui",1474281868932
stopped,bundle,org.eclipse.cft.server.branding.core,1.0.2.v201606021906,"org.eclipse.cft.server.branding.core",1474281868932
stopped,bundle,org.eclipse.cft.server.ui,1.0.103.v201606021906,"org.eclipse.cft.server.ui",1474281868932
stopped,bundle,org.eclipse.jpt.jpa.annotate,1.0.100.v201309261652,"org.eclipse.jpt.jpa.annotate",1474281868933
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core.ddlgen,2.2.200.v201603180253,"org.eclipse.jpt.jpa.eclipselink.core.ddlgen",1474281868934
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.4.100.v201603180253,"org.eclipse.jpt.jpa.eclipselink.core",1474281868934
stopped,bundle,org.eclipse.jpt.jpa.gen,2.3.200.v201512212242,"org.eclipse.jpt.jpa.gen",1474281868936
stopped,bundle,org.eclipse.jpt.jpa.core,3.5.0.v201603181811,"org.eclipse.jpt.jpa.core",1474281868936
stopped,bundle,org.eclipse.jpt.jpa.db,2.2.200.v201603180253,"org.eclipse.jpt.jpa.db",1474281868936
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.1.0.201603142002,"org.eclipse.datatools.enablement.jdt.classpath",1474281868936
stopped,bundle,org.eclipse.jdt.apt.ui,3.4.100.v20160418-1457,"org.eclipse.jdt.apt.ui",1474281868936
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.300.v201606081655,"org.eclipse.jst.server.preview.adapter",1474281868936
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081755,"org.eclipse.wst.xsl.jaxp.debug.ui",1474281868936
stopped,bundle,org.jboss.tools.common.jdt.debug.ui,3.8.1.v20160607-2053,"org.jboss.tools.common.jdt.debug.ui",1474281868972
stopped,bundle,org.eclipse.jdt.debug.ui,3.7.200.v20160423-1519,"org.eclipse.jdt.debug.ui",1474281868986
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.1.200.v201603180253,"org.eclipse.jpt.dbws.eclipselink.ui",1474281868986
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.ui,1.4.200.v201603180253,"org.eclipse.jpt.jaxb.eclipselink.ui",1474281868986
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.5.100.v201603180253,"org.eclipse.jpt.jaxb.ui",1474281868987
stopped,bundle,org.eclipse.jpt.common.ui,1.4.100.v201603180253,"org.eclipse.jpt.common.ui",1474281868989
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201302011850,"org.eclipse.jst.common.annotations.ui",1474281868989
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.900.v201402130359,"org.eclipse.jst.ejb.ui",1474281868989
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201302011850,"org.eclipse.jst.j2ee.webservice.ui",1474281868989
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.900.v201605251556,"org.eclipse.jst.servlet.ui",1474281868991
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.300.v201308151836,"org.eclipse.jst.ws.jaxws.dom.integration",1474281868991
stopped,bundle,org.eclipse.jst.jee.ui,1.0.701.v201408251535,"org.eclipse.jst.jee.ui",1474281868991
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.600.v201302011850,"org.eclipse.jst.j2ee.navigator.ui",1474281868991
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.500.v201304231803,"org.eclipse.jst.j2ee.jca.ui",1474281868991
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.900.v201602161345,"org.eclipse.jst.j2ee.ui",1474281868992
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.700.v201505131719,"org.eclipse.jst.ws.jaxrs.ui",1474281868992
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.510.v201501141810,"org.eclipse.jst.common.project.facet.ui",1474281868992
stopped,bundle,org.eclipse.jst.common.ui,1.0.300.v201603172133,"org.eclipse.jst.common.ui",1474281868995
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v201004110730,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1474281868996
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.3.110.v201603071844,"org.eclipse.jst.jsf.facelet.core",1474281868997
stopped,bundle,org.eclipse.jst.jsf.core,1.7.111.v201603050214,"org.eclipse.jst.jsf.core",1474281868997
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.5.0.v201309172102,"org.eclipse.jst.jsf.standard.tagsupport",1474281869001
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.5.100.v201603071844,"org.eclipse.jst.pagedesigner.jsp.core",1474281869002
stopped,bundle,org.eclipse.jst.jsf.common,1.5.101.v201504022146,"org.eclipse.jst.jsf.common",1474281869002
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.600.v201307151913,"org.eclipse.wst.jsdt.web.support.jsp",1474281869002
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.1100.v201605092203,"org.eclipse.jst.jsp.ui",1474281869002
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.300.v201309232152,"org.eclipse.jst.ws.cxf.consumption.core",1474281869002
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.401.v201408111743,"org.eclipse.jst.ws.cxf.creation.core",1474281869003
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.300.v201309232152,"org.eclipse.jst.ws.cxf.ui",1474281869003
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.1.200.v201404292022,"org.eclipse.jst.ws.cxf.core",1474281869003
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.200.v201309232152,"org.eclipse.jst.ws.jaxb.core",1474281869003
